input_street,input_city,input_county,input_state,most_sim_street,sim_score,mostsimstreet_id,highway,lanes,oneway
I-295 S,Westville,Gloucester,NJ,I 295,67,1003361342,motorway,4,yes
US-10 E,Minneapolis,Anoka,MN,US 10,67,640088839,motorway,3,yes
I-295 S,Bellmawr,Camden,NJ,I 295,67,771066645,motorway,2,yes
I-664 S,Newport News,Newport News,VA,I 664,67,124183680,motorway,2,yes
I-696 W,Roseville,Macomb,MI,I 696,67,492760478,motorway,3,yes
CA-60 E,Rosemead,Los Angeles,CA,CA 60,67,864073002,motorway,4,yes
I-635 S,Balch Springs,Dallas,TX,I 635,67,39754676,motorway,4,yes
Throgs Neck Expy S,Bronx,Bronx,NY,Throgs Neck Bridge,67,1083642849,motorway,4,yes
I-5,Del Mar,San Diego,CA,I 5,67,124165099,motorway,6,yes
I-5,Gustine,Merced,CA,I 5,67,10442394,motorway,2,yes
CA-57 N,Anaheim,Orange,CA,CA 57,67,836325853,motorway,6,yes
I-35E N,Lancaster,Dallas,TX,I 35E,67,847538212,motorway,3,yes
I-5,Anaheim,Orange,CA,I 5,67,978366225,motorway,2,yes
CA-57 N,Placentia,Orange,CA,CA 57,67,184689276,motorway,7,yes
I-5,Lebec,Kern,CA,I 5,67,254290226,motorway,4,yes
I-695 E,Lutherville Timonium,Baltimore County,MD,I 695,67,61424703,motorway,3,yes
I-496 W,Lansing,Ingham,MI,I 496,67,32615709,motorway,2,yes
I-5,Castaic,Los Angeles,CA,I 5,67,32656716,motorway,4,yes
I-680 N,Martinez,Contra Costa,CA,I 680,67,92107763,motorway,4,yes
I-405 S,Long Beach,Los Angeles,CA,I 405,67,119423184,motorway,6,yes
US-22 E,Bethlehem,Lehigh,PA,US 22,67,571152546,motorway,3,yes
I-710 S,Long Beach,Los Angeles,CA,I 710,67,159436670,motorway,3,yes
W IL Route 22,Barrington,Lake,IL,State Route 22,67,723520220,primary,Not_Present_Value,Not_Present_Value
I-295 N,Mount Laurel,Burlington,NJ,I 295,67,32152932,motorway,4,yes
I-526 E,Charleston,Charleston,SC,I 526,67,1190347673,motorway,2,yes
Michigan St NW,Grand Rapids,Kent,MI,Michigan Street Northwest,67,701460227,secondary,4,Not_Present_Value
I-279 N,Pittsburgh,Allegheny,PA,I 279,67,54459318,motorway,2,yes
US-75 S,Richardson,Dallas,TX,US 75,67,26453504,motorway,5,yes
I-480 E,Maple Heights,Cuyahoga,OH,I 480,67,79400112,motorway,4,yes
CT-15 S,Greenwich,Fairfield,CT,CT 15,67,1208012948,motorway,2,yes
US-75 S,Allen,Collin,TX,US 75,67,158035629,motorway,5,yes
I-405 N,Long Beach,Los Angeles,CA,I 405,67,160843935,motorway,6,yes
I-880 S,San Jose,Santa Clara,CA,I 880,67,554270445,motorway,4,yes
Grand Ave,Diamond Bar,Los Angeles,CA,North Grand Avenue,67,406278755,primary,4,yes
CA-58 W,Keene,Kern,CA,CA 58,67,118605356,motorway,2,yes
CA-55 N,Orange,Orange,CA,CA 55,67,838557263,motorway,5,yes
I-280 S,Santa Clara,Santa Clara,CA,I 280,67,967415391,motorway,5,yes
US-51 N,Madison,Dane,WI,US 51,67,495463388,primary,2,yes
CA-57 N,Rowland Heights,Los Angeles,CA,CA 57,67,866213907,motorway,4,yes
I-294 N,Alsip,Cook,IL,I 294,67,906080550,motorway,4,yes
CA-94 E,San Diego,San Diego,CA,CA 94,67,642361019,motorway,4,yes
I-5,Sylmar,Los Angeles,CA,I 5,67,124100080,motorway,7,yes
I-405 S,Fountain Valley,Orange,CA,I 405,67,774002369,motorway,7,yes
CA-60 E,Pomona,Los Angeles,CA,CA 60,67,859350171,motorway,5,yes
I-5,Burbank,Los Angeles,CA,I 5,67,31978310,motorway,5,yes
I-105 E,Hawthorne,Los Angeles,CA,I 105,67,865329203,motorway,4,yes
I-580 W,Dublin,Alameda,CA,I 580,67,394103372,motorway,4,yes
I-564 W,Norfolk,Norfolk,VA,I 564,67,48865941,motorway,3,yes
